주차장관리번호,주차장명,주차장구분,주차장유형,소재지도로명주소,소재지지번주소,주차구획수,급지구분,부제시행구분,운영요일,평일운영시작시각,평일운영종료시각,토요일운영시작시각,토요일운영종료시각,공휴일운영시작시각,공휴일운영종료시각,요금정보,주차기본시간,주차기본요금,추가단위시간,추가단위요금,1일주차권요금적용시간,1일주차권요금,월정기권요금,결제방법,특기사항,관리기관명,전화번호,위도,경도,장애인전용주차구역보유여부,데이터기준일자
152-2-000008,내당4동공영주차장,공영,노외,,대구광역시 서구 내당동 426-3,20,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,210,6000,100000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 57퍼센트 할인",대구광역시 서구청,053-663-3013,35.85682079,128.5458873,,2022-06-10
152-1-000005,달구벌대로337길인근,공영,노상,대구광역시 서구 달구벌대로337길 19,대구광역시 서구 내당동 459-11,51,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85662447,128.5498622,,2022-06-10
152-1-000013,서대구로4길인근,공영,노상,대구광역시 서구 서대구로4길 18-1,대구광역시 서구 내당동 224-3,38,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86023698,128.5589447,,2022-06-10
152-1-000011,서대구로2길인근,공영,노상,대구광역시 서구 달구벌대로 1781-1,대구광역시 서구 내당동 224-11,73,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85889951,128.5597691,,2022-06-10
152-1-000015,서대구로6길인근,공영,노상,대구광역시 서구 서대구로6길 22,대구광역시 서구 내당동 213-19,33,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86103344,128.560083,,2022-06-10
152-1-000019,평리로50길인근,공영,노상,대구광역시 서구 평리로50길 9-1,대구광역시 서구 내당동 302-37,76,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86171573,128.5506908,,2022-06-10
152-1-000007,달구벌대로361길인근,공영,노상,대구광역시 서구 달구벌대로361길 3,대구광역시 서구 내당동 219-10,31,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85982639,128.561781,,2022-06-10
152-1-000009,서대구로10길인근,공영,노상,대구광역시 서구 서대구로10길 21,대구광역시 서구 내당동 239-19,76,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86347344,128.558681,,2022-06-10
152-1-000017,서대구로8길인근,공영,노상,대구광역시 서구 서대구로8길 50,대구광역시 서구 내당동 24-35,58,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86195437,128.562026,,2022-06-10
152-1-000021,평리로62길인근,공영,노상,,대구광역시 서구 내당동 341-3,28,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86351194,128.5632779,,2022-06-10
152-1-000010,서대구로11길인근,공영,노상,대구광역시 서구 서대구로11길 37,대구광역시 서구 내당동 302-31,30,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86197935,128.551888,,2022-06-10
152-1-000014,서대구로5길인근,공영,노상,대구광역시 서구 서대구로5길 63,대구광역시 서구 내당동 356-1,54,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.859328,128.5496035,,2022-06-10
152-1-000016,서대구로7길인근,공영,노상,대구광역시 서구 서대구로7길 43,대구광역시 서구 내당동 306-29,77,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8605594,128.5516583,,2022-06-10
152-1-000020,평리로52길인근,공영,노상,,대구광역시 서구 내당동 341-5,41,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86146303,128.552253,,2022-06-10
152-1-000008,삼익뉴타운아파트인근,공영,노상,대구광역시 서구 평리로42길 24(내당동),대구광역시 서구 내당동 308-10,150,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85932516,128.5476652,,2022-06-10
152-1-000018,통학로2길인근,공영,노상,대구광역시 서구 통학로2길 8-1,대구광역시 서구 내당동 64-5,47,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86117679,128.5653193,,2022-06-10
152-1-000012,서대구로3길인근,공영,노상,대구광역시 서구 서대구로3길 59-24,대구광역시 서구 내당동 463-54,95,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.85762495,128.549997,,2022-06-10
152-2-000010,반고개무침회,공영,노외,대구광역시 서구 달구벌대로 1879-24(내당동),대구광역시 서구 내당동 1257-14,32,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,210,6000,,현금+카드,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 54퍼센트 할인",대구광역시 서구청,053-663-3013,35.86248561,128.5707592,,2022-06-10
152-1-000037,달서천로65길인근,공영,노상,대구광역시 서구 달서천로65길 30,대구광역시 서구 비산동 1194-84,14,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.886826,128.5705527,,2022-06-10
152-1-000035,달서천로61길인근,공영,노상,대구광역시 서구 달서천로61길 34,대구광역시 서구 비산동 1031,37,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88713971,128.5693522,,2022-06-10
152-1-000036,달서천로61안길인근,공영,노상,대구광역시 서구 달서천로61안길 26,대구광역시 서구 비산동 1187-13,11,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88566755,128.570914,,2022-06-10
152-2-000009,달성토성,공영,노외,,대구광역시 서구 비산동 130-1,26,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,1000,10,500,210,10000,120000,현금+카드,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 53퍼센트 할인",대구광역시 서구청,053-663-3013,35.87519411,128.5761551,,2022-06-10
152-1-000044,서대구로63안길인근,공영,노상,대구광역시 서구 서대구로63안길 35,대구광역시 서구 비산동 2008-198,74,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88521112,128.5534714,,2022-06-10
152-1-000051,염색공단로7길인근,공영,노상,대구광역시 서구 염색공단로7길 3,대구광역시 서구 비산동 1890-60,16,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.887654,128.5536259,,2022-06-10
152-1-000050,염색공단로5길인근,공영,노상,대구광역시 서구 염색공단로5길 4,대구광역시 서구 비산동 1890-2,12,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88795844,128.5535554,,2022-06-10
152-1-000057,염색공단천로3길인근,공영,노상,대구광역시 서구 염색공단천로3길 33,대구광역시 서구 비산동 1802,55,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8892084,128.5539884,,2022-06-10
152-1-000048,염색공단로11길인근,공영,노상,대구광역시 서구 염색공단로11길 27,대구광역시 서구 비산동 2008-14,52,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88543505,128.5529004,,2022-06-10
152-1-000052,염색공단중앙로12길인근,공영,노상,대구광역시 서구 염색공단중앙로12길 36,대구광역시 서구 비산동 2009-57,110,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88519181,128.5523655,,2022-06-10
152-1-000053,염색공단중앙로14길인근,공영,노상,대구광역시 서구 염색공단중앙로14길 23,대구광역시 서구 비산동 2010-2,96,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88655447,128.5503535,,2022-06-10
152-1-000049,염색공단로21인근,공영,노상,대구광역시 서구 염색공단로 21,대구광역시 서구 비산동 1890-1,82,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88815488,128.5535145,,2022-06-10
152-1-000003,비산2.3동복개공영주차장,공영,노상,,대구광역시 서구 비산동 2744,57,1,미시행,평일+토요일+공휴일,8:00,20:00,0:00,23:59,0:00,23:59,혼합,30,1000,10,500,210,10000,120000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 60퍼센트 할인",대구광역시 서구청,053-663-3013,35.87727188,128.5778452,,2022-06-10
152-2-000101,서부시장 공영주차장,공영,노외,대구광역시 서구 달서로30길 16-19,대구광역시 서구 비산동 434-7,46,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,210,6000,70000,현금,시장이용고객은 50퍼센트할인,대구광역시 서구청,053-567-1544,35.87553864,128.5729594,,2022-06-10
152-2-000002,비산6동공영주차장,공영,노외,대구광역시 서구 문화로69길 23-2,대구광역시 서구 비산동 525-2,26,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,210,6000,100000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 51퍼센트 할인",대구광역시 서구청,053-663-3013,35.87809316,128.5701114,,2022-06-10
152-1-000027,달서로43길인근,공영,노상,대구광역시 서구 달서로43길 19(비산동),대구광역시 서구 비산동 575-1,19,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8817917,128.5698889,,2022-06-10
152-1-000041,북비산로65길인근,공영,노상,,대구광역시 서구 비산동 698-83,26,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88335605,128.5689242,,2022-06-10
152-2-000004,비산1동공영주차장,공영,노외,,대구광역시 서구 비산동 716-42,16,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,30,600,10,300,210,6000,100000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 53퍼센트 할인",대구광역시 서구청,053-663-3013,35.88100172,128.5688019,,2022-06-10
152-1-000062,통학로인근,공영,노상,,대구광역시 서구 비산동 752-1,68,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88277903,128.5630792,,2022-06-10
152-1-000059,통학로50길인근,공영,노상,,대구광역시 서구 비산동 764-10,25,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88210702,128.5635,,2022-06-10
152-1-000060,통학로51길인근,공영,노상,,대구광역시 서구 비산동 810,159,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88232758,128.5614542,,2022-06-10
152-1-000038,북비산로51길인근,공영,노상,,대구광역시 서구 비산동 816-26,13,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88161266,128.5607022,,2022-06-10
152-1-000001,달서천복개도로공영주차장,공영,노상,,대구광역시 서구 비산동 3418-1,504,3,미시행,평일+토요일+공휴일,8:00,20:00,0:00,23:59,0:00,23:59,혼합,30,400,10,300,210,4000,50000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 58퍼센트 할인",대구광역시 서구청,053-663-3013,35.88298938,128.552069,,2022-06-10
152-1-000028,달서천로41길인근,공영,노상,,대구광역시 서구 비산동 875,17,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8862321,128.5624536,,2022-06-10
152-1-000033,달서천로57길인근,공영,노상,,대구광역시 서구 비산동 875,103,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8862321,128.5624536,,2022-06-10
152-1-000043,서대구로62길인근,공영,노상,,대구광역시 서구 비산동 875,160,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8862321,128.5624536,,2022-06-10
152-1-000045,서대구로64길인근,공영,노상,,대구광역시 서구 비산동 875,39,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8862321,128.5624536,,2022-06-10
152-1-000064,가르뱅이로9길인근,공영,노상,,대구광역시 서구 상리동 239-9,16,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88149984,128.5322859,,2022-06-10
152-1-000067,새방로27길인근,공영,노상,대구광역시 서구 새방로27길 6(상리동),대구광역시 서구 상리동 472-1,3,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.868108,128.5292601,,2022-06-10
152-1-000066,새방로25길인근,공영,노상,,대구광역시 서구 상리동 554-6,21,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8678521,128.5289992,,2022-06-10
152-1-000071,달서천로인근,공영,노상,,대구광역시 서구 원대동1가 258,53,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88053078,128.5777546,,2022-06-10
152-2-000100,원대신시장공영주차장,공영,노외,,대구광역시 서구 원대동3가 1300-36,23,2,미시행,평일+토요일+공휴일,9:00,20:00,9:00,20:00,9:00,20:00,유료,60,1000,30,500,210,5000,60000,현금,시장이용고객은 50퍼센트할인,대구광역시 서구청,053-351-7614,35.885874,128.5753391,,2022-06-10
152-1-000055,염색공단중앙로22길인근,공영,노상,대구광역시 서구 염색공단천로11길 19,대구광역시 서구 비산동 2024-13,109,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88879474,128.5487738,,2022-06-10
152-1-000056,염색공단중앙로23길인근,공영,노상,대구광역시 서구 염색공단중앙로23길 2,대구광역시 서구 비산동 2041-35,121,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88847051,128.5452155,,2022-06-10
152-1-000024,달서로16안길인근,공영,노상,,대구광역시 서구 비산동 219-22,16,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.869229,128.5728764,,2022-06-10
152-1-000023,국채보상로78길인근,공영,노상,대구광역시 서구 국채보상로78길 12,대구광역시 서구 비산동 258-11,42,1,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87101669,128.5728105,,2022-06-10
152-1-000075,당산로69길인근,공영,노상,,대구광역시 서구 중리동 756-6,37,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86715755,128.5447075,,2022-06-10
152-2-000004,상리공원주차장,공영,노외,,대구광역시 서구 중리동 1174-1,47,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86312705,128.5335732,,2022-06-10
152-1-000082,평리로35길인근,공영,노상,,대구광역시 서구 중리동 765,89,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8641104,128.5433335,,2022-06-10
152-1-000074,국채보상로36길인근,공영,노상,대구광역시 서구 국채보상로36길 28,대구광역시 서구 중리동 64-19,186,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86722262,128.5510421,,2022-06-10
152-1-000078,서대구로25길인근,공영,노상,대구광역시 서구 국채보상로156,대구광역시 서구 중리동 34-8,25,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86900755,128.5481281,,2022-06-10
152-2-000102,신평리시장 공영주차장,공영,노외,대구광역시 서구 통학로17길 24,대구광역시 서구 평리동 1206-1,35,2,미시행,평일+토요일+공휴일,10:00,19:00,10:00,17:00,0:00,23:59,유료,30,600,10,300,210,6000,65000,현금,시장이용고객은 50퍼센트할인/경차월정기권:40000,대구광역시 서구청,053-566-4003,35.86796443,128.5609543,,2022-06-10
152-2-000003,평리4동공영주차장,공영,노외,,대구광역시 서구 평리동 1207-2,24,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,60,1500,30,1000,210,6000,100000,현금,"성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 2시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 52퍼센트 할인",대구광역시 서구청,053-663-3013,35.8684101,128.5612302,,2022-06-10
152-1-000002,서구청노상공영주차장,공영,노상,대구광역시 서구 국채보상로49길 12,대구광역시 서구 평리동 1624-5,62,2,미시행,평일+토요일+공휴일,8:00,20:00,8:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8724508,128.557728,,2022-06-10
152-1-000085,국채보상로43길인근,공영,노상,대구광역시 서구 국채보상로43길 30,대구광역시 서구 평리동 1494-26,44,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87379548,128.5540141,,2022-06-10
152-1-000092,서대구로31길인근,공영,노상,대구광역시 서구 서대구로31길 13,대구광역시 서구 평리동 1517-5,22,3,미시행,평일+토요일+공휴일,18:30,8:00,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87176112,128.5525817,,2022-06-10
152-1-000040,북비산로59길인근,공영,노상,대구광역시 서구 북비산로59길 4,대구광역시 서구 평리동 657-17,14,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87973677,128.5655853,,2022-06-10
152-1-000095,통학로16길인근,공영,노상,대구광역시 서구 통학로16길 17,대구광역시 서구 평리동 1179-64,67,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86751782,128.5662447,,2022-06-10
152-1-000096,통학로18길인근,공영,노상,,대구광역시 서구 평리동 1174-118,21,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.8684511,128.5658219,,2022-06-10
152-1-000097,통학로20길인근,공영,노상,대구광역시 서구 통학로20길 20,대구광역시 서구 평리동 1174-86,35,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86918652,128.5662087,,2022-06-10
152-1-000091,서대구로18길인근,공영,노상,대구광역시 서구 서대구로18길 13,대구광역시 서구 평리동 1353-5,35,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.86576414,128.5574327,,2022-06-10
152-1-000083,국채보상로39길인근,공영,노상,,대구광역시 서구 평리동 1650,39,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87355027,128.54868,,2022-06-10
152-1-000084,국채보상로41길인근,공영,노상,대구광역시 서구 국채보상로41길 16,대구광역시 서구 평리동 1519-13,17,3,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87159754,128.5532165,,2022-06-10
152-1-000058,통학로24길인근,공영,노상,,대구광역시 서구 평리동 1678,34,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.87124163,128.5654733,,2022-06-10
152-2-000099,원고개시장공영주차장,공영,노외,대구광역시 서구 통학로46길 42-15,대구광역시 서구 평리동 764-10,32,2,미시행,평일+토요일+공휴일,11:00,19:00,11:00,19:00,11:00,19:00,유료,30,300,10,200,210,6000,65000,현금,시장이용고객은 50퍼센트할인,대구광역시 서구청,053-552-2221,35.88018801,128.5677443,,2022-06-10
152-1-000090,북비산로61길인근,공영,노상,대구광역시 서구 북비산로61길 6-1(평리동),대구광역시 서구 비산동 738-10,43,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,무료,0,0,,,,,,,,대구광역시 서구청,053-663-3013,35.88012316,128.5671826,,2022-06-10
152-2-000005,평리1동공영주차장,공영,노외,대구광역시 서구 문화로 303,대구광역시 서구 평리동 791-5,15,2,미시행,평일+토요일+공휴일,0:00,23:59,0:00,23:59,0:00,23:59,유료,60,1000,30,500,,,80000,현금,"월 단위 유료운영(24시간), 자율 주차 공휴일 이용불가, 성실납세증 부착차량, 우수자원봉사자증을 소지한 사람으로서 자원봉사 활동을 위해 주차한 경우 면제, 경차, 친환경 저공해차량 60퍼센트할인, 장애인, 국가유공자, 고엽제휴유의증 표지부착 차량 1시간면제 50퍼센트할인,  임산부, 아이조아카드소지자, 요일제차량 54퍼센트 할인",대구광역시 서구청,053-663-4352,35.87597604,128.5660678,,2022-06-10
